Provider Number	Hospital Name
140012	KATHERINE SHAW BETHEA HOSPITAL
140013	PROCTOR HOSPITAL
140015	BLESSING HOSPITAL
140018	MT SINAI HOSPITAL MEDICAL CENTER
140019	SHELBY MEMORIAL HOSPITAL
140026	ST MARYS HOSPITAL
140029	COPLEY MEMORIAL HOSPITAL
140030	SHERMAN HOSPITAL
140032	ST ANTHONYS MEMORIAL HOSPITAL
140033	VISTA MEDICAL CENTER WEST
140034	ST MARYS HOSPITAL
14003F	JESSE BROWN VA MEDICAL CENTER - VA CHICAGO
140040	GALESBURG COTTAGE HOSPITAL
140043	CGH MEDICAL CENTER
140046	GOOD SAMARITAN REGIONAL HLTH CENTER
140048	ADVOCATE TRINITY HOSPITAL
140049	WEST SUBURBAN MEDICAL CENTER
14004F	VA ILLIANA HEALTHCARE SYSTEM - DANVILLE
140051	SKOKIE HOSPITAL
140052	SAINT ANTHONY'S HEALTH CENTER
140053	ST JOHNS HOSPITAL
140054	MACNEAL  HOSPITAL
140058	PASSAVANT AREA HOSPITAL
140059	JERSEY COMMUNITY HOSPITAL
140062	PALOS COMMUNITY HOSPITAL
140063	RUSH OAK PARK HOSPITAL
140064	ST MARY MEDICAL CENTER
140065	ADVENTIST LA GRANGE MEMORIAL HOSPITAL
140067	SAINT FRANCIS MEDICAL CENTER
140068	ROSELAND COMMUNITY HOSPITAL
140077	TOUCHETTE REGIONAL HOSPITAL INC
14007F	HINES VA MEDICAL CENTER
140080	PRESENCE SAINT FRANCIS HOSPITAL
140082	LOUIS A WEISS MEMORIAL HOSPITAL
140083	LORETTO HOSPITAL
140084	VISTA MEDICAL CENTER EAST
140088	THE UNIVERSITY OF CHICAGO MEDICAL CENTER
140089	MC DONOUGH DISTRICT HOSPITAL
14008F	MARION IL VA MEDICAL CENTER
140091	THE CARLE FOUNDATION HOSPITAL
140093	PRESENCE UNITED SAMARITANS MEDICAL CENTER
140095	SAINT ANTHONY HOSPITAL
140100	MIDWESTERN REGION MED CENTER
140101	MORRIS HOSPITAL & HEALTHCARE CENTERS
140103	ST BERNARD HOSPITAL
140110	OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER
140113	PRESENCE COVENANT MEDICAL CENTER
140114	SWEDISH COVENANT HOSPITAL
140115	THOREK MEMORIAL HOSPITAL
140116	CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL
140117	PRESENCE RESURRECTION MEDICAL CENTER
140118	METROSOUTH MEDICAL CENTER
140119	RUSH UNIVERSITY MEDICAL CENTER
140120	PEKIN MEMORIAL HOSPITAL
140122	HINSDALE HOSPITAL
140124	JOHN H STROGER JR HOSPITAL
140125	GATEWAY REGIONAL MEDICAL CENTER
140127	ADVOCATE BROMENN MEDICAL CENTER
140130	LAKE FOREST HOSPITAL
140133	HOLY CROSS HOSPITAL
140135	DECATUR MEMORIAL HOSPITAL
140137	GREENVILLE REGIONAL HOSPITAL
140143	ST MARGARETS HOSPITAL
140145	ST JOSEPHS HOSPITAL
140147	RICHLAND MEMORIAL HOSPITAL
140148	MEMORIAL MEDICAL CENTER
140150	UNIVERSITY OF ILLINOIS HOSPITAL
140151	SACRED HEART HOSPITAL
140155	PRESENCE ST MARYS HOSPITAL
140158	MERCY HOSPITAL AND MEDICAL CENTER
140160	FHN MEMORIAL HOSPITAL
140161	SAINT JAMES HOSPITAL
140162	ST JOSEPH MEDICAL CENTER
140164	MEMORIAL HOSPITAL OF CARBONDALE
140166	ST MARYS HOSPITAL
140167	IROQUOIS MEMORIAL HOSPITAL
140172	FRANCISCAN ST JAMES HEALTH
140174	PRESENCE MERCY MEDICAL CENTER
140176	CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL
140177	JACKSON PARK HOSPITAL
140179	LITTLE COMPANY OF MARY HOSPITAL
140180	PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER
140181	SOUTH SHORE HOSPITAL
140182	ADVOCATE ILLINOIS MASONIC MEDICAL CENTER
140184	HEARTLAND REGIONAL MEDICAL CENTER
140185	MEMORIAL HOSPITAL
140186	RIVERSIDE MEDICAL CENTER
140187	ST ELIZABETH HOSPITAL
140189	SARAH BUSH LINCOLN HEALTH CENTER
140191	INGALLS MEMORIAL HOSPITAL
140197	METHODIST HOSPITAL OF CHICAGO
140200	ELMHURST MEMORIAL HOSPITAL
140202	ADVOCATE CONDELL MEDICAL CENTER
140206	NORWEGIAN-AMERICAN HOSPITAL
140208	ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER
140209	METHODIST MEDICAL CENTER OF ILLINOIS
140210	HARRISBURG MEDICAL CENTER
140211	DELNOR COMMUNITY HOSPITAL
140213	SILVER CROSS HOSPITAL  AND MEDICAL CENTERS
140217	PRESENCE SAINT JOSEPH HOSPITAL - ELGIN
140223	ADVOCATE LUTHERAN GENERAL HOSPITAL
140224	PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO
140228	SWEDISH AMERICAN HOSPITAL
140231	EDWARD HOSPITAL
140233	SAINT ANTHONY MEDICAL CENTER
140234	ILLINOIS VALLEY COMMUNITY HOSPITAL
140239	ROCKFORD MEMORIAL HOSPITAL
140240	WESTLAKE COMMUNITY HOSPITAL
140242	CENTRAL DUPAGE HOSPITAL
140250	ADVOCATE SOUTH SUBURBAN HOSPITAL
140251	PRESENCE OUR LADY OF THE RESURRECTION MED CTR
140252	NORTHWEST COMMUNITY HOSPITAL
140258	ALEXIAN BROTHERS MEDICAL CENTER
140275	GENESIS MEDICAL CENTER ILLINI CAMPUS
140276	LOYOLA UNIVERSITY MEDICAL CENTER
140280	TRINITY ROCK ISLAND
140281	NORTHWESTERN MEMORIAL HOSPITAL
140286	KISHWAUKEE COMMUNITY HOSPITAL
140288	ADVOCATE GOOD SAMARITAN HOSPITAL
140289	ANDERSON HOSPITAL
140290	ST ALEXIUS MEDICAL CENTER
140291	ADVOCATE GOOD SHEPHERD HOSPITAL
140292	ADVENTIST GLENOAKS
140294	CROSSROADS COMMUNITY HOSPITAL
140300	PROVIDENT HOSPITAL OF CHICAGO
140304	ADVENTIST BOLINGBROOK HOSPITAL
14034F	NORTH CHICAGO VA MEDICAL CENTER
141300	THOMAS H BOYD MEMORIAL HOSPITAL
141301	JOHN & MARY KIRBY HOSPITAL
141302	MIDWEST MEDICAL CENTER
141303	DR JOHN WARNER HOSPITAL
141304	GENESIS MEDICAL CENTER, ALEDO
141305	MEMORIAL HOSPITAL
141306	COMMUNITY MEMORIAL HOSPITAL
141307	PINCKNEYVILLE COMMUNITY HOSPITAL
141309	ADVOCATE EUREKA  HOSPITAL
141310	MENDOTA COMMUNITY HOSPITAL
141311	FAIRFIELD MEMORIAL HOSPITAL
141312	ROCHELLE COMMUNITY HOSPITAL
141313	MASON DISTRICT HOSPITAL
141315	ILLINI COMMUNITY HOSPITAL
141316	HOOPESTON COMMUNITY MEMORIAL HOSPITAL
141317	GIBSON COMMUNITY HOSPITAL
141318	OSF HOLY FAMILY MEDICAL CENTER
141319	HAMMOND HENRY HOSPITAL
141320	PARIS COMMUNITY HOSPITAL
141322	ABRAHAM LINCOLN MEMORIAL HOSPITAL
141323	MASSAC MEMORIAL HOSPITAL
141324	FERRELL HOSPITAL COMMUNITY FOUNDATIONS
141325	KEWANEE HOSPITAL
141326	HAMILTON MEMORIAL HOSPITAL DISTRICT
141327	WABASH GENERAL HOSPITAL
141328	HARDIN COUNTY GENERAL HOSPITAL
141329	MORRISON COMMUNITY HOSPITAL
141330	HOPEDALE MEDICAL COMPLEX
141331	MARSHALL BROWNING HOSPITAL
141332	HILLSBORO AREA HOSPITAL
141333	SARAH D CULBERTSON MEMORIAL HOSPITAL
141334	ST JOSEPH MEMORIAL HOSPITAL
141335	MERCY HARVARD HOSPITAL
141336	ST JOSEPH'S HOSPITAL
141337	PERRY MEMORIAL HOSPITAL
141338	MEMORIAL HOSPITAL
141339	TAYLORVILLE MEMORIAL HOSPITAL
141340	VALLEY WEST COMMUNITY HOSPITAL
141341	PANA COMMUNITY HOSPITAL
141342	UNION COUNTY HOSPITAL
141343	CRAWFORD MEMORIAL HOSPITAL
141344	LAWRENCE COUNTY MEMORIAL HOSPITAL
141345	SALEM TOWNSHIP HOSPITAL
141346	FAYETTE COUNTY HOSPITAL
141347	CARLINVILLE AREA HOSPITAL
141348	RED BUD REGIONAL HOSPITAL
141349	SPARTA COMMUNITY HOSPITAL
141350	ST FRANCIS HOSPITAL
141351	CLAY COUNTY HOSPITAL
150001	JOHNSON MEMORIAL HOSPITAL
150002	METHODIST HOSPITALS INC
150003	FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL
150004	FRANCISCAN ST MARGARET HEALTH - HAMMOND
150005	HENDRICKS REGIONAL HEALTH
150006	INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL
150007	COMMUNITY HOWARD REGIONAL HEALTH INC
150008	ST CATHERINE HOSPITAL INC
150009	CLARK MEMORIAL HOSPITAL
150010	ST JOSEPH HOSPITAL & HEALTH CENTER INC
150011	MARION GENERAL HOSPITAL
150012	SAINT JOSEPH REGIONAL MEDICAL CENTER
150015	FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY
150017	LUTHERAN HOSPITAL OF INDIANA
150018	ELKHART GENERAL HOSPITAL
150021	PARKVIEW REGIONAL MEDICAL CENTER
150022	FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE
150023	UNION HOSPITAL INC
150024	WILLIAM N WISHARD MEMORIAL HOSPITAL
150026	IU HEALTH GOSHEN HOSPITAL
150030	HENRY COUNTY MEMORIAL HOSPITAL
150034	ST MARY MEDICAL CENTER INC
150035	PORTER REGIONAL HOSPITAL
150037	HANCOCK REGIONAL HOSPITAL
150038	INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC
15003F	INDIANAPOLIS VA MEDICAL CENTER
150042	GOOD SAMARITAN HOSPITAL
150044	FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES
150045	DEKALB HEALTH
150046	TERRE HAUTE REGIONAL HOSPITAL
150047	ST JOSEPH HOSPITAL
150048	REID HOSPITAL & HEALTH CARE SERVICES
15004F	VA N. INDIANA HEALTHCARE SYSTEM - MARION
150051	INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL
150056	INDIANA UNIVERSITY HEALTH
150057	FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE
150058	MEMORIAL HOSPITAL OF SOUTH BEND
150059	RIVERVIEW HOSPITAL
150061	DAVIESS COMMUNITY HOSPITAL
150064	FAYETTE REGIONAL HEALTH SYSTEM
150065	SCHNECK MEDICAL CENTER
150069	KING'S DAUGHTERS' HEALTH
150072	MEMORIAL HOSPITAL
150074	COMMUNITY HOSPITAL EAST
150075	BLUFFTON REGIONAL MEDICAL CENTER
150076	SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH
150082	DEACONESS HOSPITAL INC
150084	ST VINCENT HOSPITAL & HEALTH SERVICES
150086	DEARBORN COUNTY HOSPITAL
150088	ST VINCENT ANDERSON REGIONAL HOSPITAL INC
150089	INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL
150090	FRANCISCAN ST MARGARET HEALTH - DYER
150091	PARKVIEW HUNTINGTON HOSPITAL
150097	MAJOR HOSPITAL
150100	ST MARY'S MEDICAL CENTER OF EVANSVILLE INC
150101	PARKVIEW WHITLEY HOSPITAL
150102	INDIANA UNIVERSITY HEALTH STARKE HOSPITAL
150104	WITHAM HEALTH SERVICES
150109	FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST
150112	COLUMBUS REGIONAL HOSPITAL
150113	COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY
150115	MEMORIAL HOSPITAL AND HEALTH CARE CENTER
150125	COMMUNITY HOSPITAL
150126	FRANCISCAN ST ANTHONY HEALTH - CROWN POINT
150128	COMMUNITY HOSPITAL SOUTH
150129	WESTVIEW HOSPITAL
150133	KOSCIUSKO COMMUNITY HOSPITAL
150146	PARKVIEW NOBLE HOSPITAL
150149	WOMEN'S HOSPITAL THE
150150	DUPONT HOSPITAL LLC
150153	ST VINCENT HEART CENTER OF INDIANA LLC
150154	INDIANA HEART HOSPITAL THE
150157	ST VINCENT CARMEL HOSPITAL INC
150158	IU HEALTH WEST HOSPITAL
150160	INDIANA ORTHOPAEDIC HOSPITAL
150161	INDIANA UNIVERSITY HEALTH NORTH HOSPITAL
150162	FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS
150163	SAINT CATHERINE REGIONAL HOSPITAL
150164	MONROE HOSPITAL
150165	FRANCISCAN HEALTHCARE - MUNSTER
150166	PINNACLE HOSPITAL
150167	ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC
150168	THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR
150169	COMMUNITY HOSPITAL NORTH
150172	PHYSICIANS' MEDICAL CENTER LLC
150173	INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL
150175	THE HEART HOSPITAL AT DEACONESS GATEWAY LLC
150176	KENTUCKIANA MEDICAL CENTER LLC
150177	UNITY MEDICAL AND SURGICAL HOSPITAL
150179	FAIRBANKS
150181	ST VINCENT FISHERS HOSPITAL, INC
151300	COMMUNITY HOSPITAL OF BREMEN INC
151301	ST VINCENT RANDOLPH HOSPITAL INC
151302	INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL
151303	ST VINCENT JENNINGS HOSPITAL INC
151304	RUSH MEMORIAL HOSPITAL
151305	PULASKI MEMORIAL HOSPITAL
151306	INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL
151307	ST VINCENT WILLIAMSPORT HOSPITAL INC
151308	ST VINCENT MERCY HOSPITAL
151309	ST VINCENT CLAY HOSPITAL INC
151310	WABASH COUNTY HOSPITAL
151311	INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC
151312	INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL
151313	WOODLAWN HOSPITAL
151314	ST VINCENT SALEM HOSPITAL INC
151315	CAMERON MEMORIAL COMMUNITY HOSPITAL INC
151316	ST VINCENT FRANKFORT HOSPITAL INC
151317	GREENE COUNTY GENERAL HOSPITAL
151318	DUKES MEMORIAL HOSPITAL
151319	GIBSON GENERAL HOSPITAL
151320	JAY COUNTY HOSPITAL
151322	PERRY COUNTY MEMORIAL HOSPITAL
151323	PARKVIEW LAGRANGE HOSPITAL
151324	JASPER COUNTY HOSPITAL
151325	ST MARY'S WARRICK HOSPITAL INC
151326	UNION HOSPITAL CLINTON
151327	SULLIVAN COUNTY COMMUNITY HOSPITAL
151328	INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL
151329	MARGARET MARY COMMUNITY HOSPITAL INC
151330	ADAMS MEMORIAL HOSPITAL
151331	HARRISON COUNTY HOSPITAL
151332	DECATUR COUNTY MEMORIAL HOSPITAL
151333	PUTNAM COUNTY HOSPITAL
151334	SCOTT MEMORIAL HOSPITAL
151335	ST VINCENT DUNN HOSPITAL INC
160001	MARSHALLTOWN MEDICAL & SURGICAL CENTER
160005	ST ANTHONY REGIONAL HOSPITAL & NURSIING HOME
160008	KEOKUK AREA HOSPITAL
160013	TRINITY MUSCATINE
160016	TRINITY REGIONAL MEDICAL CENTER
160024	IOWA LUTHERAN HOSPITAL
160028	ALEGENT HEALTH MERCY HOSPITAL
160029	MERCY HOSPITAL
160030	MARY GREELEY MEDICAL CENTER
160032	SKIFF MEDICAL CENTER
160033	GENESIS MEDICAL CENTER-DAVENPORT
16003F	VA CENTRAL IOWA HEALTHCARE SYSTEM
160040	SARTORI MEMORIAL HOSPITAL
160045	ST LUKES HOSPITAL
160047	JENNIE EDMUNDSON HOSPITAL
16004F	IOWA CITY VA MEDICAL CENTER
160057	GREAT RIVER MEDICAL CENTER
160058	UNIVERSITY OF IOWA HOSPITAL & CLINICS
160064	MERCY MEDICAL CENTER-NORTH IOWA
160067	COVENANT MEDICAL CENTER
160069	MERCY MEDICAL CENTER-DUBUQUE
160079	MERCY MEDICAL CENTER - CEDAR RAPIDS
160080	MERCY MEDICAL CENTER-CLINTON
160082	IOWA METHODIST MEDICAL CENTER
160083	MERCY MEDICAL CENTER-DES MOINES
160089	OTTUMWA REGIONAL HEALTH CENTER
160101	BROADLAWNS MEDICAL CENTER
160104	TRINITY BETTENDORF
160110	ALLEN MEMORIAL HOSPITAL
160112	SPENCER MUNICIPAL HOSPITAL
160117	UNITYPOINT HEALTH FINLEY HOSPITAL
160122	FORT MADISON COMMUNITY HOSPITAL
160124	LAKES REGIONAL HEALTHCARE
160146	ST LUKES REGIONAL MEDICAL CENTER
160147	GRINNELL REGIONAL MEDICAL CENTER
160153	MERCY MEDICAL CENTER-SIOUX CITY
161300	BAUM HARMON MERCY HOSPITAL
161301	IOWA SPECIALTY HOSPITAL - BELMOND
161302	IOWA SPECIALTY HOSPITAL-CLARION
161303	GRUNDY COUNTY MEMORIAL HOSPITAL
161304	ALEGENT HEALTH MERCY HOSPITAL
161306	JONES REGIONAL MEDICAL CENTER
161307	HANCOCK COUNTY HEALTH SYSTEM
161308	FRANKLIN GENERAL HOSPITAL
161309	ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL
161310	ADAIR COUNTY MEMORIAL HOSPITAL
161311	HAWARDEN COMMUNITY HOSPITAL
161312	GUTTENBERG MUNICIPAL HOSPITAL
161313	GENESIS MEDICAL CENTER-DEWITT
161316	PALMER LUTHERAN HEALTH CENTER
161317	MARENGO MEMORIAL HOSPITAL
161318	VETERANS MEMORIAL HOSPITAL
161319	CENTRAL COMMUNITY HOSPITAL
161320	COMMUNITY MEMORIAL HOSPITAL
161321	SANFORD ROCK RAPIDS MEDICAL CENTER
161322	DALLAS COUNTY HOSPITAL
161325	GREENE COUNTY MEDICAL CENTER
161326	MADISON COUNTY MEMORIAL HOSPITAL
161327	DAVIS COUNTY HOSPITAL
161328	REGIONAL HEALTH SERVICES OF HOWARD COUNTY
161329	JACKSON COUNTY REGIONAL HEALTH CENTER
161330	AUDUBON COUNTY MEMORIAL HOSPITAL
161331	MERCY MEDICAL CENTER-NEW HAMPTON
161332	MANNING REGIONAL HEALTHCARE CENTER
161333	STORY COUNTY HOSPITAL
161335	BUCHANAN COUNTY HEALTH CENTER
161336	HEGG MEMORIAL HEALTH CENTER
161337	VAN BUREN COUNTY HOSPITAL
161338	MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN
161339	WAVERLY HEALTH CENTER
161340	DECATUR COUNTY HOSPITAL
161341	LUCAS COUNTY HEALTH CENTER
161342	MONROE COUNTY HOSPITAL
161343	REGIONAL MEDICAL CENTER
161344	WASHINGTON COUNTY HOSPITAL AND CLINICS
161345	OSCEOLA COMMUNITY HOSPITAL
161346	SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER
161347	FLOYD COUNTY MEMORIAL HOSPITAL
161348	CLARKE COUNTY HOSPITAL
161349	VIRGINIA GAY HOSPITAL
161350	STEWART MEMORIAL COMMUNITY HOSPITAL
161351	AVERA HOLY FAMILY HOSPITAL
161352	CLARINDA REGIONAL HEALTH CENTER
161353	KOSSUTH REGIONAL HEALTH CENTER
161354	HORN MEMORIAL HOSPITAL
161355	KNOXVILLE HOSPITAL & CLINICS
161356	HENRY COUNTY HEALTH CENTER
161357	PALO ALTO COUNTY HOSPITAL
161358	WAYNE COUNTY HOSPITAL
161359	BURGESS HEALTH CENTER
161360	ORANGE CITY AREA HEALTH SYSTEM
161361	VAN DIEST MEDICAL CENTER
161362	CHEROKEE REGIONAL MEDICAL CENTER
161363	MONTGOMERY COUNTY MEMORIAL HOSPITAL
161364	JEFFERSON COUNTY HEALTH CENTER
161365	GREATER REGIONAL MEDICAL CENTER
161366	SHENANDOAH MEDICAL CENTER
161367	PELLA REGIONAL HEALTH CENTER
161368	FLOYD VALLEY HOSPITAL
161369	CRAWFORD COUNTY MEMORIAL HOSPITAL
161370	LORING HOSPITAL
161371	WINNESHIEK MEDICAL CENTER
161372	BOONE COUNTY HOSPITAL
161373	RINGGOLD COUNTY HOSPITAL
161374	MYRTUE MEDICAL CENTER
161375	BUENA VISTA REGIONAL MEDICAL CENTER
161376	CASS COUNTY MEMORIAL HOSPITAL
161377	MERCY MEDICAL CENTER-CENTERVILLE
161378	MERCY MEDICAL CENTER-DYERSVILLE
161379	MAHASKA  HEALTH PARTNERSHIP
161380	ELLSWORTH MUNICIPAL HOSPITAL
161381	SANFORD SHELDON MEDICAL CENTER
170001	NEWMAN REGIONAL HEALTH
170006	VIA CHRISTI HOSPITAL PITTSBURG INC
170009	SAINT JOHN HOSPITAL
170010	MERCY HOSPITAL INDEPENDENCE
170012	SALINA REGIONAL HEALTH CENTER
170013	HAYS MEDICAL CENTER
170014	RANSOM MEMORIAL HOSPITAL
170016	ST FRANCIS HEALTH CENTER INC
170017	SUSAN B ALLEN MEMORIAL HOSPITAL
170020	HUTCHINSON REGIONAL MEDICAL CENTER INC
170023	ST CATHERINE HOSPITAL
170027	PRATT REGIONAL MEDICAL CENTER
170039	SUMNER REGIONAL MEDICAL CENTER
170040	UNIVERSITY OF KANSAS HOSPITAL
170049	OLATHE MEDICAL CENTER
170058	MERCY HOSPITAL-FORT SCOTT
170068	SOUTHWEST MEDICAL CENTER
17006F	VA EASTERN KANSAS HEALTHCARE SYSTEM
170074	GEARY COMMUNITY HOSPITAL
170075	MERCY HOSPITAL
170086	STORMONT-VAIL HEALTHCARE
17008F	WICHITA VA MEDICAL CENTER
170094	COFFEY COUNTY HOSPITAL
170103	NEWTON MEDICAL CENTER
170104	SHAWNEE MISSION MEDICAL CENTER
170105	MCPHERSON HOSPITAL INC
170109	MIAMI COUNTY MEDICAL CENTER
170110	BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL
170120	LABETTE HEALTH
170122	VIA CHRISTI HOSPITALS WICHITA INC
170123	WESLEY MEDICAL CENTER
170133	CUSHING MEMORIAL HOSPITAL
170137	LAWRENCE MEMORIAL HOSPITAL
170142	MERCY REGIONAL HEALTH CENTER
170145	COFFEYVILLE REGIONAL MEDICAL CENTER
170146	PROVIDENCE MEDICAL CENTER
170150	SOUTH CENTRAL KS  MED CENTER
170166	MORTON COUNTY HOSPITAL
170175	WESTERN PLAINS MEDICAL COMPLEX
170176	OVERLAND PARK REG MED CTR
170182	MENORAH MEDICAL CENTER
170183	KANSAS SURGERY & RECOVERY CENTER
170185	SAINT LUKE'S SOUTH HOSPITAL
170186	KANSAS HEART HOSPITAL
170187	SALINA SURGICAL HOSPITAL
170188	KANSAS CITY ORTHOPAEDIC INSTITUTE
170190	MANHATTAN SURGICAL HOSPITAL LLC
170191	GREAT BEND REGIONAL HOSPITAL
170194	DOCTORS HOSPITAL LLC
170195	HEARTLAND SURGICAL SPEC HOSPITAL
170196	KANSAS SPINE HOSPITAL, LLC
170197	KANSAS MEDICAL CENTER LLC
170198	SUMMIT SURGICAL LLC
170199	MINIMALLY INVASIVE SURGERY HOSPITAL
170200	VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC
171300	GRISELL MEMORIAL HOSPITAL
171301	ELLINWOOD DISTRICT HOSPITAL
171302	OSWEGO COMMUNITY HOSPITAL
171304	ASHLAND HEALTH CENTER
171306	WICHITA COUNTY HEALTH CENTER
171307	RAWLINS COUNTY HEALTH CENTER
171308	MERCY MAUDE NORTON HOSPITAL
171310	CHEYENNE COUNTY HOSPITAL
171312	COMANCHE COUNTY HOSPITAL
171313	KEARNY COUNTY HOSPITAL
171314	JEFFERSON COUNTY MEMORIAL HOSPITAL
171315	NEMAHA VALLEY COMMUNITY HOSPITAL
171316	ANDERSON COUNTY HOSPITAL
171317	EDWARDS COUNTY HOSPITAL
171318	SEDAN CITY HOSPITAL
171319	HOLTON COMMUNITY HOSPITAL
171321	MEADE DISTRICT HOSPITAL
171322	HAMILTON COUNTY HOSPITAL
171323	STAFFORD COUNTY HOSPITAL
171324	SATANTA DISTRICT HOSPITAL
171325	GRAHAM COUNTY HOSPITAL
171327	ELLSWORTH COUNTY MEDICAL CENTER
171328	OTTAWA COUNTY HEALTH CENTER
171330	HOSPITAL DISTRICT #1 OF RICE COUNTY
171331	KIOWA DISTRICT HOSPITAL
171333	CLARA BARTON HOSPITAL
171334	MEDICINE LODGE MEMORIAL HOSPITAL
171335	STEVENS COUNTY HOSPITAL
171336	NESS COUNTY HOSPITAL DISTRICT #2
171337	WAMEGO HEALTH CENTER
171338	SABETHA COMMUNITY HOSPITAL
171339	GREENWOOD COUNTY HOSPITAL
171340	HERINGTON MUNICIPAL HOSPITAL
171341	HIAWATHA COMMUNITY HOSPITAL
171342	RUSH COUNTY MEMORIAL HOSPITAL
171343	STANTON COUNTY HOSPITAL
171344	WILSON MEDICAL CENTER
171345	PAWNEE  VALLEY COMMUNITY HOSPITAL
171346	HOSPITAL DISTRICT #6 OF HARPER COUNTY
171347	SHERIDAN COUNTY HOSPITAL
171348	NORTON COUNTY HOSPITAL
171349	CLOUD COUNTY HEALTH CENTER
171350	RUSSELL REGIONAL HOSPITAL
171351	WASHINGTON COUNTY HOSPITAL
171352	DECATUR COUNTY HOSPITAL
171353	PHILLIPS COUNTY HOSPITAL
171354	COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS
171355	TREGO COUNTY LEMKE MEMORIAL HOSPITAL
171356	ST LUKE HOSPITAL & LIVING CENTER
171357	HILLSBORO COMMUNITY HOSPITAL
171358	LINDSBORG COMMUNITY HOSPITAL
171359	GREELEY COUNTY HEALTH SERVICES
171361	REPUBLIC COUNTY HOSPITAL
171362	CITIZENS MEDICAL CENTER
171363	COMMUNITY MEMORIAL HEALTHCARE, INC
171364	OSBORNE COUNTY MEMORIAL HOSPITAL
171365	HANOVER HOSPITAL
171366	HARPER HOSPITAL DISTRICT NO 5
171367	GOVE COUNTY MEDICAL CENTER
171368	MINNEOLA DISTRICT HOSPITAL #2
171369	HODGEMAN COUNTY HEALTH CENTER
171370	GOODLAND REGIONAL MEDICAL CENTER
171371	CLAY COUNTY MEDICAL CENTER
171372	SCOTT COUNTY HOSPITAL
171373	ALLEN COUNTY REGIONAL HOSPITAL
171374	FREDONIA REGIONAL HOSPITAL
171375	MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS
171376	GIRARD MEDICAL CENTER
171377	SMITH COUNTY MEMORIAL HOSPITAL
171378	KINGMAN COMMUNITY HOSPITAL
171379	MORRIS COUNTY HOSPITAL
171380	NEOSHO MEMORIAL REGIONAL MEDICAL CENTER
171381	MEMORIAL HOSPITAL
171382	ATCHISON HOSPITAL
171383	WILLIAM NEWTON HOSPITAL
173300	CHILDREN'S MERCY  SOUTH
180001	ST ELIZABETH FT THOMAS
180002	WHITESBURG ARH HOSPITAL
180004	MUHLENBERG COMMUNITY HOSPITAL
180005	HIGHLANDS REGIONAL MEDICAL CENTER
180009	KING'S DAUGHTERS' MEDICAL CENTER
180010	SAINT JOSEPH HOSPITAL
180011	SAINT JOSEPH LONDON
180012	HARDIN MEMORIAL HOSPITAL
180013	THE MEDICAL CENTER AT BOWLING GREEN
180016	JEWISH HOSPITAL - SHELBYVILLE
180017	T J SAMSON COMMUNITY HOSPITAL
180018	ST CLAIRE REGIONAL MEDICAL CENTER
180019	MEADOWVIEW REGIONAL MEDICAL CENTER
180020	MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT
180021	PINEVILLE COMMUNITY HOSPITAL
180024	SPRING VIEW HOSPITAL
180025	FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H
180027	MURRAY-CALLOWAY COUNTY HOSPITAL
180029	HAZARD ARH REGIONAL MEDICAL CENTER
180035	ST ELIZABETH MEDICAL CENTER NORTH
